Time,TOPUPCC:rdEffBoostR [%],TOPUPCC:rdCur [mA],LINAC1C:rdHVS_C [µA],TOPUPCC:rdCurrentB [mA],PAHB:sDelay [ns],CUMZD4R:rdLt10 [h],PAHR:sCavSet []
08/05/2017 04:20:59.065459,49.239,6.60307,-3.6458,0.757827,0.2,-0.0210117,1120
08/05/2017 04:21:00.064523,51.8326,6.60502,-3.6458,0.742416,0.2,-0.0233937,1120
08/05/2017 04:21:01.063684,51.8326,6.77042,-3.47219,0.727847,0.2,-0.0226536,1120
08/05/2017 04:21:02.062784,52.9106,6.77105,-3.47219,0.723833,0.2,-0.0242278,1120
08/05/2017 04:21:03.062699,52.9106,6.93256,-3.6458,0.718377,0.25,-0.0225072,1120
08/05/2017 04:21:04.061805,54.0141,6.93233,-3.6458,0.745965,0.25,-0.0230455,1120
08/05/2017 04:21:05.061222,53.6314,7.09559,-3.6458,0.737876,0.25,-0.0206156,1120
08/05/2017 04:21:06.060245,53.6314,7.09546,-3.6458,0.728414,0.25,-0.0204803,1120
08/05/2017 04:21:07.059404,50.8643,7.24632,-3.47219,0.713532,0.25,-0.0199675,1120
08/05/2017 04:21:08.058604,49.9562,7.24434,-3.6458,0.733872,0.25,-0.0214532,1120
08/05/2017 04:21:09.057779,47.6903,7.39177,-3.6458,0.729768,0.25,-0.0210671,1120
08/05/2017 04:21:10.056973,47.6903,7.3913,-3.6458,0.765778,0.25,-0.0227822,1120
08/05/2017 04:21:11.056234,48.3219,7.54754,-3.6458,0.75868,0.25,-0.0221606,1120
08/05/2017 04:21:12.055639,51.4941,7.54919,-3.6458,0.730832,0.25,-0.0237885,1120
08/05/2017 04:21:13.054902,50.9539,7.69709,-3.6458,0.728104,0.3,-0.0231181,1120
08/05/2017 04:21:14.053955,50.2056,7.69644,-3.47219,0.692486,0.3,-0.0248186,1120
08/05/2017 04:21:15.052959,50.2056,7.82847,-3.47219,0.692486,0.3,-0.0241853,1120
08/05/2017 04:21:16.052182,47.5518,7.8284,-3.47219,0.689059,0.3,-0.0259988,1120
08/05/2017 04:21:17.051473,42.4377,7.95034,-3.47219,0.654277,0.3,-0.0257309,1120
08/05/2017 04:21:18.050625,41.5247,7.94953,-3.47219,0.232699,0.3,-0.028038,1120
08/05/2017 04:21:19.050310,41.5247,8.07484,-3.47219,0.244967,0.3,-0.0279074,1120
08/05/2017 04:21:20.050030,42.5886,8.07613,-3.47219,0.717506,0.3,-0.030662,1120
08/05/2017 04:21:21.049646,42.4214,8.19646,-3.29865,0.707303,0.3,-0.0302231,1120
08/05/2017 04:21:22.049339,42.4214,8.19665,-3.47219,0.219538,0.3,-0.0328617,1120
08/05/2017 04:21:23.049236,39.7036,8.31226,-3.47219,0.215587,0.3,-0.0320195,1120
08/05/2017 04:21:24.048274,39.339,8.3121,-3.47219,0.717779,0.35,-0.0344022,1120
08/05/2017 04:21:25.047444,39.339,8.42768,-3.47219,0.717779,0.35,-0.0332751,1120
08/05/2017 04:21:26.046509,40.0165,8.42833,-3.47219,0.673389,0.35,-0.0356001,1120
08/05/2017 04:21:27.045924,25.8508,8.50165,-3.47219,0.662656,0.35,-0.0358508,1120
08/05/2017 04:21:28.045137,25.485,8.50183,-3.29865,0.714627,0.35,-0.0401022,1120
08/05/2017 04:21:32.043310,24.9679,8.59298,-3.29865,0.698563,0.35,-0.0683361,1120
08/05/2017 04:21:33.042498,24.9679,8.66206,-3.47219,0.68935,0.35,-0.0702618,1120
08/05/2017 04:21:34.041594,25.1587,8.66329,-3.47219,0.694076,0.4,-0.0803312,1120
08/05/2017 04:21:35.040739,25.1587,8.72761,-3.47219,0.283627,0.4,-0.0744868,1120
08/05/2017 04:21:36.039841,21.3421,8.72836,-3.47219,0.733725,0.4,-0.076679,1120
08/05/2017 04:21:37.039211,21.3421,8.75478,-3.47219,0.701917,0.4,-0.0731489,1120
08/05/2017 04:21:38.038317,-1,8.75515,-3.47219,0.719531,0.4,-0.0769482,1120
08/05/2017 04:21:39.037395,-1,8.78061,-3.47219,0.693166,0.4,-0.0828003,1120
08/05/2017 04:21:40.036755,-1,8.78153,-3.47219,0.6872,0.4,-0.0994623,1120
08/05/2017 04:21:41.035797,-1,8.8082,-3.47219,0.720108,0.4,-0.109701,1120
08/05/2017 04:21:42.034869,-1,8.80967,-3.6458,0.739221,0.4,-0.135961,1120
08/05/2017 04:21:43.034391,-1,8.83386,-3.47219,0.721713,0.4,-0.146494,1120
08/05/2017 04:21:44.033925,-1,8.83327,-3.47219,0.728498,0.45,-0.177824,1120
08/05/2017 04:21:45.033854,-1,8.84013,-3.47219,0.691544,0.45,-0.186953,1120
08/05/2017 04:21:46.033779,-1,8.83954,-3.47219,0.187843,0.45,-0.217331,1120
