Time,TOPUPCC:rdEffBoostR [%],TOPUPCC:rdCur [mA],LINAC1C:rdHVS_C [µA],TOPUPCC:rdCurrentB [mA],PAHB:sDelay [ns],CUMZD4R:rdLt10 [h],PAHR:sCavSet []
08/05/2017 01:20:49.552380,65.9106,9.32852,-3.47219,0.75114,0.25,-0.0207925,1120
08/05/2017 01:20:50.551683,65.9106,9.38417,-3.6458,0.800929,0.3,-0.0212462,1120
08/05/2017 01:20:51.551587,66.3494,9.53346,-3.47219,0.762493,0.3,-0.0216412,1120
08/05/2017 01:20:52.551532,66.3494,9.57669,-3.6458,0.77953,0.3,-0.0223446,1120
08/05/2017 01:20:53.551392,53.5999,9.69126,-3.6458,0.744044,0.3,-0.0232885,1120
08/05/2017 01:20:54.550519,53.5999,9.73878,-3.47219,0.810146,0.3,-0.0243543,1120
08/05/2017 01:20:55.549626,52.9176,9.85673,-3.99307,0.77516,0.3,-0.0254559,1120
08/05/2017 01:20:56.548598,52.9176,9.90568,-3.47219,0.779329,0.3,-0.0266317,1120
08/05/2017 01:20:57.547746,53.7077,10.0191,-3.6458,0.75014,0.3,-0.0277672,1120
08/05/2017 01:20:58.546843,53.7077,10.0679,-3.47219,0.801964,0.3,-0.0288813,1120
08/05/2017 01:20:59.545914,51.1733,10.1803,-3.47219,0.772728,0.3,-0.0298721,1120
08/05/2017 01:21:00.545853,51.1733,10.23,-3.47219,0.784347,0.35,-0.0306363,1120
08/05/2017 01:21:01.545017,50.7368,10.3369,-3.6458,0.772493,0.35,-0.0309758,1120
08/05/2017 01:21:02.544095,50.7368,10.3696,-3.6458,0.782112,0.35,-0.0320506,1120
08/05/2017 01:21:03.543304,31.0247,10.4361,-3.6458,0.787544,0.35,-0.0337892,1120
08/05/2017 01:21:04.542454,31.0247,10.4667,-3.47219,0.793314,0.35,-0.0361853,1120
08/05/2017 01:21:05.541567,30.7239,10.5313,-3.29865,0.761669,0.35,-0.0391957,1120
08/05/2017 01:21:06.540753,30.7239,10.5627,-3.6458,0.7571,0.35,-0.0427781,1120
08/05/2017 01:21:07.540065,30.601,10.6256,-3.6458,0.775978,0.35,-0.0467388,1120
08/05/2017 01:21:08.539227,30.601,10.6563,-3.47219,0.783365,0.35,-0.0510564,1120
08/05/2017 01:21:09.538398,26.5983,10.7103,-3.47219,0.775914,0.35,-0.0552459,1120
08/05/2017 01:21:10.538209,26.5983,10.7436,-3.47219,0.772217,0.4,-0.0584987,1120
08/05/2017 01:21:11.537762,30.2184,10.8019,-3.6458,0.745095,0.4,-0.0596872,1120
08/05/2017 01:21:12.537003,30.2184,10.8136,-3.47219,0.793797,0.4,-0.0627965,1120
08/05/2017 01:21:13.536097,-1,10.8355,-3.6458,0.760387,0.4,-0.0678017,1120
